"Tipo","Zona","Precio","Superficie","Habitaciones","Baños","Garaje","Trastero","Ascensor","Terraza","Amueblado","Chimenea","Piscina","Jardín","Descripción"
"Piso","Centro","189000","99","3","1","0","0","1","1","0","0","0","0","PISO MUY AMPLIO Y LUMINOSO DE 95M2 PARA ENTRAR A VIVIRConsta de 95 metros cuadrados, cocina equipada y amueblada, salón muy amplio con terraza incluida,3 dormitorios dobles, cuarto de baño completo reformado.Aire acondicionado con bomba de calor en toda la vivienda, suelos de parquet, ventanas con climalit. La vivienda se queda amueblada.Muy cercano al Hospital civil y Hospital Materno Infantil y rodeado de todo tipo de servicios, supermercados, farmacias, centros comerciales y de líneas de autobuses urbanos y Interurbanos.A 15 minutos del centro de la ciudad.En cumplimiento del decreto de la Junta de Andalucía 218/2005 del 11 de octubre, por el que se aprueba el reglamento de información al consumidor en la compraventa y arrendamiento de viviendas en Andalucía, se informa al cliente que tiene a su disposición el Documento Informativo Abreviado (D.I.A.) en nuestras oficinas de Av. Del Mediterráneo, 203, Rincón de la Victoria. Además le informamos que no están incluidos en el precio, los gastos de notaría, registro, gestoría, el impuesto a las transmisiones patrimoniales (I.T.P.) aplicable a viviendas de segunda mano y el I.V.A. para viviendas de nueva construcción. Honorarios de intermediación profesional si están incluidos en el precio."
"Piso","Bailén-Miraflores","155000","86","3","1","0","0","0","0","1","0","0","0","LGI pone a su disposición esta gran oportunidad de compra, no la deje escapar, piense que ahora mismo hay más gente interesada en este inmueble.Estupendo bajo considerablemente amplio y luminoso, totalmente reformado. Consta de 3 dormitorios completos, armarios, 1 cuarto de baño totalmente amueblado, salón muy bien distribuido, patio amplio para uso de la vivienda, cocina totalmente amueblada y equipada, puertas interiores en buen estado, puerta exterior blindada, etc.¡Visítalo sin compromiso!Puede llamarnos o contactarnos por WhatsApp.Somos una agencia especializada en la venta de inmuebles en Málaga con mas de 21 años de experiencia. Además te ayudamos a conseguir financiación, no dudes en consultarnos.En cumplimiento del decreto de la junta de Andalucía 2182005 del 11 de octubre, se informa al cliente que los gastos notariales, registrales, itp, intermediación inmobiliaria no están incluidos en el precioEstaremos encantados de atenderte personalmente en C/ Héroe de Sostoa, 192 (esquina con Av de la Paloma).Horario de atención al cliente:Lunes a viernes de 10:00 a 14:00 y de 17:00 a 20:00 horas.Sábados de 10:00 a 14:00 horas (con cita previa).Si esta vivienda no es lo que estas buscando, contáctanos y nos encargaremos de hacerte una búsqueda totalmente personalizada adaptándonos a tus necesidades sin compromiso.Lucía Gestión Inmobiliaria S. L."
"Piso","Centro","380000","120","3","3","1","0","1","0","0","0","0","0","Piso luminoso y soleado, de 3 dormitorios y 2 baños, con cocina amueblada y equipada con electrodomésticos, suelo de mármol, situado en el centro de málaga, a 5 minutos a pie de muelle uno, de calle larios y de el corte inglés. Plaza de aparcamiento opcional, no incluida en el precio. (aparcamiento: 25.000€)
 Interesados contactar: maría 627 53 65 29
 Gastos de gestión no incluidos[iw]."
"Piso","Carretera de Cádiz","94200","84","3","3","0","0","0","0","1","0","0","0","Piso en málaga capital, en la calle malaga-algaveño,2 1-d. Con incidencias: inmueble alquilado-no visitable.."
"Ático","Teatinos-Universidad","370000","86","2","2","1","1","1","1","0","0","1","0","En Teatinos, Exclusivo ATICO a estrenar de 2 dormitorios y 2 baños [75 m2 (vivienda) + 10 m2 (terraza)]. Maravilloso Residencial cerrado y privado con bonitas zonas verdes, amplia Piscina (20x10), Padel, Gimnasio y Parque Infantil. Cocina equipada con electrodomésticos. Aire acondicionado instalado. Buena comunicación y servicios. (a tan sólo 10 minutos caminando al metro, a un paso de comercios, restaurantes, etc.). Hasta el 80% de financiación. Garaje y trastero. 370.000 € + Iva (10%). Entrega Inmediata."
"Chalet","Churriana","1000000","916","8","8","1","1","0","1","1","1","1","0","Magnífica villa!!, en pleno corazón de Málaga, situada a poquísimos minutos de las conocidísimas y fantásticas playas de Torremolinos, a escasos dos kilómetros del aeropuerto, al lado del centro comercial Plaza Mayor, en un enclave increíble para disfrutar de cada salida y puesta del sol, mientras al fondo se vislumbra el mar, toda la bahía de Málaga  y el puerto, todo un espectáculo de colores del que ahora tú también puedes experimentar  y ser protagonistaEs una villa edificada  en una sola planta inicialmente, pero que ha experimentado una reforma en la que se ha aprovechado cada rincón y  a la que se  puede acceder desde diferentes zonas de la casa evitando si uno lo desea las escaleras,  que dispone de amplias estancias todas personalizadas, con diferentes acentos  que hacen que disfrutes de cada rincón que se presenta y te transporte creando hogar a cada paso. Tiene 4 estancias-salones en la parte más alta de la vivienda y 2 más en la parte más baja de la parcela (vivienda), los dos salones principales se abren frente a una terraza magnífica con balaustrada, también tiene 8 habitaciones dobles todas con armarios empotrados,( 4 de ellas en la parte más alta de la  vivienda y 4 en la parte más baja de la vivienda) 5 baños, (3 completos y un aseo en la parte más alta y dos baños y  dos aseos  en la parte más baja de la vivienda) , dos vestidores  en la parte más alta y en la más baja descubrimos zona de juegos, cine, gimnasio, lavandería, sótano  y dos cocinas más una interior y otra exterior en la zona de la piscina privada que aparece imponente junto a zona chill y de barra donde disfrutar de reuniones familiares , de  amigos , de eventos.....tiene zona ajardinada para disfrutar de las largas  horas solares, que nos brinda la Costa del Sol, además la parcela posee  pista de tenis y multideporte , es un hogar idílico que no deja indiferente y que invita a disfrutar y celebrar cada día.  ¿¿Y si es el hogar de tus sueños??✷✴  🎀  ¡¡¡No lo pienses , ponte en contacto con nosotros y sé protagonista en primera persona de las sensaciones que produce ver el mar desde cada rincón y estancia de esta vivienda que te presentamos!!! Estaremos encantados de hacerlo  🎀  ✴✷"
"Piso","La Rosaleda-La Roca","70000","84","3","1","0","0","0","0","0","0","0","0","Piso en venta en calle deva, consta de salón ventanales con fantásticas vistas, cocina en muy buen estado, 3 dormitorios, el principal muy acogedor, y baño completo. Exterior y luminoso. Orientación sur oeste.
  La vivienda está situada en la barriada de la palma, con buena comunicación de transportes públicos. En las inmediaciones, existen numerosos comercios y servicios, como ambulatorio, farmacia, parques infantiles, colegios, institutos, etc. Visítalo sin compromiso, ofrecemos asesoramiento hasta el 100%. Para mas información llame al teléfono: 951 990 182.
  En cumplimiento del decreto de la junta de andalucía 218/2005 del 11 de octubre, se informa a los clientes que los gastos notariales, registrales, los de gestoría, los impuestos (itp, ajd o iva), los honorarios de intermediación y otros gastos inherentes a la compra, no están incluidos en el precio."
"Piso","Cruz de Humilladero","355000","120","3","2","0","1","1","1","0","0","0","0","Magnífico piso de tres dormitorios en la zona semi-centro de málaga, amplio, cómodo, con mucha luz. Y reformado hace tan sólo unos años
Plaza de garaje incluida. En el precio y trastero comunitario.
 La vivienda consta de 116m² muy bien distribuidos, amplio salón-comedor con salida a una bonita terraza, cocina equipada con zona de galería anexionada lo cuál la hace muy cómoda y con mucha luz, armario empotrado en el pasillo, tres dormitorios, uno de ellos habitación-suite con baño y otro baño ambos con plato de ducha.
 Vivienda toda exterior!
 La vivienda es un tercero y se encuentra frente al colegio e instituto manuel álcaltara.
 Reformada hace siete años con muy buenos materiales.
 Cabe destacar su magnífica ubicación ya que se encuentra a tan sólo cinco minutos andando del corte inglés de málaga y del centro histórico.
 La calle tiene zona de hora, está rodeada de tiendas, farmacias, supermercados, centros médicos, y todo tipo de servicios.
 Ven a verla! Te sorprenderá! Ya que es muy difícil encontrar una vivienda en málaga de estas características."
"Casa","Centro","1200000","260","6","3","1","0","0","1","0","1","1","1","Se vende un impresionante chalet en Gibralfaro.En una ubicación perfecta, ya que andando tiene a 5 minutos el Castillo de Gibralfaro y el Mirador, y tan solo a 10 minutos andando de la playa y el centro histórico.Cuatro plantas con una gran distribución, con dos salones, 6 habitaciones, 3 de ellas con balcón con vistas al mar y armarios empotrados, 3 baños y una terraza en la cuarta planta con vistas al mar. Una de las habitaciones actualmente se usa como estudio.La zona exterior es de las que tiene más metros de la zona, con jardín privado, piscina, porche y zona de lavadero junto a la cocina. El garaje está reformado recientemente y tiene capacidad para dos coches. Es un chalet adosado únicamente por la parte trasera, por lo que tiene gran independencia. La terraza de la última planta tiene preciosas vistas orientación sur y este.La casa tiene muchas posibilidades, como por ejemplo unir los 2 salones, que en un inicio era un único salón de gran tamaño. El salón principal tiene chimenea y estantería de obra con el muro que lo separa con insonorización. El suelo es de mármol y uno de los tres balcones está cerrado con un precioso ventanal. Dispone de un pequeño trastero a modo de almacén para productos de limpieza o comida en la primera planta, en la parte inferior de la escalera."
"Piso","Bailén-Miraflores","164500","62","1","1","1","0","1","0","1","0","0","0","Vivienda de 1 dormitorios.  Incluye en el precio garaje y trastero. 
 Cocina amueblada con isla en concepto abierto al salón comedor. Zona de lavandería. Calidades de primera. 
 Promoción de viviendas situada a 300 metros andando del materno infantil de málaga. 
 Obra ya comenzada. Aval de garantizado de las cantidades entregas a cuenta.  Ya puede reservar su vivienda¡¡¡
 Oficina de ventas: calle moraima, nº 10 (camino de suarez)."
"Piso","Centro","208000","51","1","1","0","0","1","1","0","0","0","0","Busca House vende fantástico apartamento en pleno Casco Histórico de Málaga, teatro Cervantes, Plaza de La Merced, Plaza de Uncibay, de la Alcazaba y del Teatro Romano de Málaga. Se encuentra a 1 km. del muelle Uno y de la playa de la Malagueta. Posee licencia como apartamento turístico.El apartamento posee una moderna cocina integrada con el comedor y el salón, un cuarto de baño completo y una habitación principal.Se entrega equipado y con muebles. listo para vivir o para la renta.Posee 52 m2 construidos, 1 Habitacion, 1 baño, segunda mano / buen estado, armarios empotrados, aire acondicionado en todos los ambientes. orientación Oeste, bajo exterior, terraza compartida para los pisos de abajo, con ascensor.La zona habla por si sola, podemos estar en 2 minutos en la plaza de la constitución y Larios así como ir a hacer nuestras compras al mercado central en el mismo tiempo. La zona al ser justo el límite con la zona de Santo Domingo, permite poder vivir y disfrutar del ya mencionado casco viejo de Málaga y ventajas que tiene la zona colindante, lease AVE, buses, Centros Comerciales como el Corte Inglés y demás. Cercanias y taxi a un paso. Parada de bus a dos pasos. En fin el sitio ideal para amantes del centro.Gastos de comunidad 40 euros por mes.IBI 146 euros.Características básicas51 m² construidos1 habitación1 bañoTerrazaSegunda mano/buen estadoArmarios empotradosOrientación oesteCalefacción individual: EléctricaEdificioBajo exteriorcon ascensorEquipamientoAire acondicionadoVenga a verlo, es una oportunidad de conseguir un producto único y difícil de encontrar, tanto para inversión como para disfrutarlo. Se informa que, en cumplimiento con el Reglamento de información al consumidor en la compraventa y arrendamiento de viviendas en Andalucía. Gastos de compraventa no incluidos: Impuesto de Transmisiones, Notaría, Registro, etc.Comunidad 40 euros mensuales.Para consultas y más información llamar al teléfono: 635288600."
"Piso","Carretera de Cádiz","192000","73","3","1","0","0","0","1","0","0","0","0","Paseo maritimo al lado del mar.
Piso con orientación sur , luminoso.
Consta de : 
Cocina equipada y amueblada de electrodomésticos.
Lavadero
Salon con muy buena luz
Terraza
3 dormitorios
1 baño con plato ducha
Puerta de entrada blindada
Portal del bloque reformado 
La vivienda esta reformada y deja muebles
Comunidad 27 euros mas 16 por la rehabilitación del edificio
Solicita una visita con tu asesor inmobiliario, disponible los 7 dias de la semana.
En el precio incluye los honorarios de la agencia con iva."
"Piso","Carretera de Cádiz","125000","85","3","2","0","1","1","1","0","0","0","0","Se vende piso de particular a particular. Piso en coin urge venderprecio negociable3 habitaciones, aseo y baño en suite, armarios empotrados, cocina equipada, terraza de 25m, muy luminosogaraje y trastero (hay ascensor)ubicado cerca de colegio, centro de salud y acceso rapido al centro de coin."
"Piso","Carretera de Cádiz","168000","85","3","1","0","0","1","0","0","0","0","0","En avda de velazquez orientacion sur 
 Amplio piso de 3 dormitorios, totalmente exterior, salón independiente, cocina amueblada, baño con plato de ducha.
 El edificio se encuentra en la misma avenida de velázquez y al estar orientado al sur no tiene el ruido de la carretera.
 El portal está totalmente reformado y tiene muy buen acceso para personas con movilidad reducida.
 La vivienda está en muy buen estado de conservación, es una vivienda muy confortable por lo cual se puede vivir perfectamente en ella.
 Ideal para vivir o como inversión. La zona cuenta con todo tipos de comercios, tiene a su alrededor supermercados, farmacias, paradas de bus y metro, centros de salud, colegios, institutos, guarderías, el parque del oeste, y tan sólo 5 min. En coche tiene muy buena combinación para carrefour los patios y hospital quirón y la salida al aeropuerto y a la autovía. 
 Llame y véalo! 
 En casa plus inmobiliaria le conseguimos la mejor financiación para su vivienda, además de ofrecer servicios de alquiler y reformas. ¡Contáctenos!
 ""en cumplimiento del decreto de la junta de andalucía 218/2005, de 11 de octubre, se informa a los clientes que los gastos notariales, registrales, itp, no están incluidos en el precio."
"Piso","Carretera de Cádiz","178000","78","3","1","0","0","1","0","0","0","0","0","¿Buscas un piso en pleno corazón de Huelin, en jardín de la abadía para reformar a su gusto?¡Es tu vivienda!Amplio piso en corazón de Huelin, jardín de la abadía, conservado, planta alta, y luminoso, consta de 3 habitaciones, amplio salón con cocina independiente, baño amplio. Dos ascensores, portal con rampa. Rodeado de comercios, playa a 500metros.Zona comercial, cercano a mercados, supermercados, farmacias, colegios, guarderías, centro de salud, parque, parada de metro y autobús, cercano a la Estación Vialia María Zambrano.¡Vamos a visitarlo!Garantizamos su financiación.En cumplimiento del Decreto de la Junta de Andalucia 218/2005 del 11 de Octubre, se informa al cliente que los gastos notariales, registrales, ITP y otros gastos inherentes a la compraventa no están incluidos en el precio. Si están incluidos los honorarios de la agencia."
"Casa","Este","1590000","390","6","5","1","1","0","1","0","0","1","1","Magnifica y singular vivienda ,situada en la zona mas residencial y exclusiva de Málaga ,el Limonar .Toda la casa esta diseñada y decorada con grandes detalles, muy personales que le dan un carácter muy especial y singular ,a la vez que cálido .La vivienda esta rodeada por un magnifico jardín consolidado, lleno de rincones especiales y una piscina junto a la  que hay un agradable porche para disfrutar durante todo el año . A continuación del porche hay una magnifica zona de barbacoa ,a la que se accede a través de unas magnificas puertas antiguas de madera."
"Piso","Centro","200700","88","3","1","0","0","1","1","0","0","0","0","OPORTUNIDAD! Piso en zona de Cristo de la Epidemia ideal para inversión en alquiler de estudiantes zona totalmente consolidada, de tres dormitorios y un baño, cocina amueblada, con la terraza integrada que podría ser otro dormitorio si se opta por alquiler estudiantes, situado en una de las zonas principales de la ciudad muy cerca de las universidades. El piso está rodeado de servicios, bares, restaurantes, tiendas, farmacias, colegio o gasolinera. En el precio no están incluidos los gastos de agencia ni los impuestos."
"Casa","Este","775000","490","4","4","1","0","0","0","0","0","1","1","Se venda una impresionante vivienda a un precio increíble. Se trata de un chalet adosado de 490 metros con un espectacular solarium. Las zonas comunes muy bien cuidadas con piscina y preciosos jardines."
"Chalet","Campanillas","295000","230","4","2","1","0","0","1","0","0","0","0","Casa adosada en campanillas, maqueda!!
 A tan solo 10 minutos de malaga!! Junto al pta!!
 Honorarios agencia incluidos!!!
 Bonita casa de 230 m² distribuida en tres plantas de 4 dormitorios.
Planta sótano consta de una gran habitación y un trastero
Planta baja consta de aseo, recibidor, cocina, y salón
Planta alta consta de 3 dormitorios, dos baños, uno de ellos en suite.
Porche delantero y plaza de garaje 
Construccion auxiliar para bicicletas y moto 
Patio trasero de 30 m² con barbacoa 
Cocina completamente amueblada y equipada
Salón con chimenea
Suelo porcelanico
Aire acondicionado en salón y dormitorio principal
Armarios empotrados en habitaciones
Puertas de madera
No paga comunidad
Vivienda totalmente exterior con mucha luz
 Rodeado de naturaleza y de todo tipo de servicios
Junto al parque tecnológico de andalucia
 ***pide cita con tu agente iad de lunes a sabado***
 ***necesitas financiacion?  Te ofrecemos las mejores condiciones para tu hipoteca de la mano de nuestro partner prohipoteca***
 ***honorarios agencia incuido, no incluye gastos derivados de la compraventa, notario, reistro e impuestos***."
"Piso","Centro","359000","120","4","2","1","0","1","1","0","0","0","0","Situado en edificio señorial cuya comunidad prohibe su uso para alquiler turístico.
 Ofrecemos gran piso en el ejido de 4 dormitorios con garaje en pleno centro histórico de málaga, rodeado te todo tipo de comercios, bien comunicado con el transporte público y el centro histórico al alcance de la mano. En uno de los edificios más emblemáticos de la zona, contando con cuatro ascensores recientemente renovados, los cuales bajan hasta el mismo garaje
 El piso cuenta con cuatro grandes dormitorios, dos cuartos de baño, amplia cocina lavadero y salón comedor para disfrutar las vistas de su estupenda terraza. El garaje es de grandes dimensiones, con espacio para un gran coche y una moto, además cercano al acceso desde el ascensor .
 Cumpliendo con el decreto 218/2005, de 11 de octubre, por el que se aprueba el reglamento de información al consumidor en la compraventa y arrendamiento de viviendas en andalucía, se informa el cliente que los gastos notariales, registrales, i. T. P. , honorarios de intermediación y/o financieros, así como otros gastos inherentes a la compraventa no están incluidos en el precio.
 Profesionalidad y eficacia es lok inmobiliaria. 
Encuentra más en  (url oculto) 
#ref:lejgus350 - lejgus350 - lok gestión inmobiliaria."
"Piso","Churriana","282250","155","4","2","0","0","0","0","0","0","0","0","Gastos de notaría gratis. Desde el 6 de noviembre hasta el 31 de diciembre de 2022. Ver bases legales.."
"Casa","Este","403000","234","5","2","0","0","0","1","0","0","1","0","Casa con piscina y espectaculares vistas al mar. Vivienda de 234 m² construidos (174 m² útiles) , que se distribuyen en 5 habitaciones, 2 baños, cocina amueblada y salón. Dispone de piscina propia, garaje de 30 m², amplias terrazas de 25 y 29 m² y solarium con maravillosas vistas al mar. Se sitúa próxima a colegio león xiii, club deportivo, supermercado, parada de bus... Y buen acceso a la autovía. En cumplimiento del decreto de la junta de andalucía 218/2005 del 11 de octubre, informamos que el impuesto de transmisiones patrimoniales y los gastos de notaría y registro regulados por arancel no están incluidos en el precio. Si están incluidos los honorarios profesionales de agencia. Esta oferta tiene una validez de un mes desde su publicación. Contamos en nuestro equipo con abogado (colegiado 6208), administrador de fincas (colegiado 2307) y agente de la propiedad inmobiliaria (colegiado 813) que le asesorará en todo el proceso de compra. We speak english. On parle français."
"Piso","Puerto de la Torre","196000","175","4","2","0","0","0","1","1","0","0","0","Excelente piso de 4 dormitorios amplios, 2 baños, muy amplio y espacioso.Son 175m², distribuido en amplio salón con salida a la terraza de 6 m² y a un patio que tiene la vivienda de unos 15 mts, y con preciosas vistas a la montaña y ciudad, cocina abierta al salón totalmente amueblada y equipada, todo exterior, muy luminoso.Amplio salón con parte de descanso y zona comedor. Orientación Sur. En una zona tranquila y sin ruidos.Solicite visita sin compromiso.   CERTIFICADO NO PROCEDE O ESTÁ PENDIENTE.  Si necesitas asesoramiento para comprar tu vivienda, en CS PISOS lo hacemos totalmente gratis!! Encontramos tu casa al mejor precio y viendo fotos en nuestra oficina optimizamos las visitas y su tiempo.  En cumplimiento del Decreto de la Junta de Andalucía 218/2005 del 11 de Octubre, se informa al cliente que los gastos notariales, registrales, ITP y otros gastos inherentes a la compraventa no están incluidos en el precio. Si están incluidos los honorarios de la agencia.   ¡Estamos a su servicio!."
